utterance	representation
will I make it to the beach by noon if I leave now	[IN:GET_ESTIMATED_ARRIVAL will I make it to [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION the beach ] ] ] [SL:DATE_TIME_ARRIVAL by noon ] if I leave [SL:DATE_TIME_DEPARTURE now ] ]
When should I leave my house to get to the Hamilton Mall right when it opens on Saturday	[IN:GET_ESTIMATED_DEPARTURE When should I leave [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT my ] house ] ] to get to [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP the Hamilton Mall ] ] ] [SL:DATE_TIME_ARRIVAL right when it opens on Saturday ] ]
If I take off now what time should I arrive at Fenway Park?	[IN:GET_ESTIMATED_ARRIVAL If I take off [SL:DATE_TIME_DEPARTURE now ] what time should I arrive at [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP Fenway Park ] ] ] ? ]
I bought a new car	[IN:UNSUPPORTED I bought a new car ]
find me the nearest gas station off of 5th ave north.	[IN:GET_LOCATION find me the [SL:LOCATION_MODIFIER nearest ] [SL:CATEGORY_LOCATION gas station ] [SL:LOCATION_MODIFIER [IN:GET_LOCATION [SL:SEARCH_RADIUS off of ] [SL:LOCATION 5th ave north ] ] ] . ]
How many miles apart is Los Angeles and Anaheim	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] apart is [SL:SOURCE Los Angeles ] and [SL:DESTINATION Anaheim ] ]
How far is it from Denver to Los Angeles	[IN:GET_DISTANCE How far is it from [SL:SOURCE Denver ] to [SL:DESTINATION Los Angeles ] ]
Would I be able to get from here to Montauk by 1pm	[IN:GET_ESTIMATED_ARRIVAL Would I be able to get from [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] to [SL:DESTINATION Montauk ] [SL:DATE_TIME_ARRIVAL by 1 pm ] ]
when should I arrive home based on the traffic	[IN:GET_ESTIMATED_ARRIVAL when should I arrive [SL:DESTINATION [IN:GET_LOCATION_HOME home ] ] based on the traffic ]
Is there a detour to get out of this traffic	[IN:UPDATE_DIRECTIONS Is there a [SL:PATH detour ] to get out of [SL:OBSTRUCTION_AVOID this traffic ] ]
